"EffectMean","EffectLower","EffectUpper","Significant","Feature","Repeat","Fold","Dataset","Target"
0.420814896347987,0.313088894113345,0.575757575757576,"yes","X2",5,1,"bikesharing","windspeed"
0.402636597549493,0.289025199687008,0.562903574358847,"yes","X3",5,1,"bikesharing","windspeed"
0.391489948266015,0.282828282828283,0.532582199092132,"yes","X1",5,2,"bikesharing","windspeed"
0.391568832797233,0.282828282828283,0.535353535353535,"yes","X2",5,2,"bikesharing","windspeed"
0.401806214252553,0.303030303030303,0.555714693662854,"yes","X3",5,2,"bikesharing","windspeed"
0.423368070026704,0.313131313131313,0.578634469771181,"yes","X1",5,3,"bikesharing","windspeed"
0.42716618874771,0.280433285482069,0.586040521590657,"yes","X2",5,3,"bikesharing","windspeed"
0.427204305901379,0.307024429079795,0.575757575757576,"yes","X3",5,3,"bikesharing","windspeed"
0.394980313301108,0.289025199687008,0.537712852042228,"yes","X1",5,4,"bikesharing","windspeed"
0.411214910359027,0.282828282828283,0.552043296489047,"yes","X2",5,4,"bikesharing","windspeed"
0.437189861468808,0.323232323232323,0.593136015141423,"yes","X3",5,4,"bikesharing","windspeed"
0.380662535784553,0.278706424774369,0.535353535353535,"yes","X1",5,5,"bikesharing","windspeed"
0.419008522987011,0.313131313131313,0.55213110296571,"yes","X2",5,5,"bikesharing","windspeed"
0.463664791799504,0.326006776356488,0.654792903764339,"yes","X3",5,5,"bikesharing","windspeed"
0.38286591078292,0.273304218866697,0.535353535353535,"yes","X1",5,6,"bikesharing","windspeed"
0.407154997726174,0.303030303030303,0.552299829136552,"yes","X2",5,6,"bikesharing","windspeed"
0.441640281978121,0.329299786391005,0.613788347801513,"yes","X3",5,6,"bikesharing","windspeed"
0.425025191375374,0.313131313131313,0.58379905199877,"yes","X1",5,7,"bikesharing","windspeed"
0.416186243533252,0.292929292929293,0.575757575757576,"yes","X2",5,7,"bikesharing","windspeed"
0.44775279894276,0.319881547341286,0.616161616161616,"yes","X3",5,7,"bikesharing","windspeed"
0.403010760003942,0.29929006771607,0.545619264230408,"yes","X1",5,8,"bikesharing","windspeed"
0.41649847006565,0.272727272727273,0.593136015141423,"yes","X2",5,8,"bikesharing","windspeed"
0.408458637153242,0.303030303030303,0.555555555555556,"yes","X3",5,8,"bikesharing","windspeed"
0.399218268259176,0.278612978260328,0.545454545454546,"yes","X1",5,9,"bikesharing","windspeed"
0.345710257625034,0.196555896332551,0.518224444990638,"yes","X2",5,9,"bikesharing","windspeed"
0.456751705369197,0.323232323232323,0.656565656565657,"yes","X3",5,9,"bikesharing","windspeed"
0.398566608841441,0.282828282828283,0.552060513445255,"yes","X1",5,10,"bikesharing","windspeed"
0.392067311174517,0.292929292929293,0.53771932324301,"yes","X2",5,10,"bikesharing","windspeed"
0.442885962006334,0.319881547341286,0.62646183831972,"yes","X3",5,10,"bikesharing","windspeed"
0.390021434516791,0.272727272727273,0.567298321168663,"yes","X1",6,1,"bikesharing","windspeed"
0.402159212912005,0.288889690367885,0.537712852042228,"yes","X2",6,1,"bikesharing","windspeed"
0.445952438455318,0.32569511976471,0.634251293943312,"yes","X3",6,1,"bikesharing","windspeed"
0.387927165150981,0.268355679755116,0.535412518270753,"yes","X1",6,2,"bikesharing","windspeed"
0.438462553120247,0.336886913094742,0.585858585858586,"yes","X2",6,2,"bikesharing","windspeed"
0.418049908987607,0.29929006771607,0.573854330301962,"yes","X3",6,2,"bikesharing","windspeed"
0.411550181490466,0.303003052744442,0.564307854612897,"yes","X1",6,3,"bikesharing","windspeed"
0.398962918238456,0.313131313131313,0.537712852042228,"yes","X2",6,3,"bikesharing","windspeed"
0.452367806429168,0.333333333333333,0.616161616161616,"yes","X3",6,3,"bikesharing","windspeed"
0.39531873929135,0.292929292929293,0.532849388441842,"yes","X1",6,4,"bikesharing","windspeed"
0.436528257774643,0.314205651198716,0.595959595959596,"yes","X2",6,4,"bikesharing","windspeed"
0.475384214782122,0.339828519116165,0.675418965724009,"yes","X3",6,4,"bikesharing","windspeed"
0.384571018756983,0.282726673102246,0.537712852042228,"yes","X1",6,5,"bikesharing","windspeed"
0.416351124979666,0.31074928787107,0.552043296489047,"yes","X2",6,5,"bikesharing","windspeed"
0.42406334771246,0.289025199687008,0.593136015141423,"yes","X3",6,5,"bikesharing","windspeed"
0.448816042166107,0.318408132102737,0.61390456225592,"yes","X1",6,6,"bikesharing","windspeed"
0.44450103717319,0.320602789384381,0.605228225596746,"yes","X2",6,6,"bikesharing","windspeed"
0.426509366617866,0.330177287153895,0.575934643246857,"yes","X3",6,6,"bikesharing","windspeed"
