x,ale,Dataset,Target,Feature,Model
1.9,-0.0127552717988616,Forestfires,area,X6,sebart
3.6526315789473687,0.379271122676142,Forestfires,area,X6,sebart
5.405263157894737,0.424200883889811,Forestfires,area,X6,sebart
7.157894736842106,0.27862022696211,Forestfires,area,X6,sebart
8.910526315789474,0.269205808530482,Forestfires,area,X6,sebart
10.663157894736843,-0.0424906448319716,Forestfires,area,X6,sebart
12.415789473684212,-0.314501618655446,Forestfires,area,X6,sebart
14.16842105263158,-0.255313720766298,Forestfires,area,X6,sebart
15.921052631578949,-0.403888844389535,Forestfires,area,X6,sebart
17.673684210526318,0.220802848168162,Forestfires,area,X6,sebart
19.426315789473684,-0.17497576315324,Forestfires,area,X6,bart
21.178947368421053,1.71416781097103,Forestfires,area,X6,bart
22.931578947368422,3.47451680204823,Forestfires,area,X6,bart
24.68421052631579,3.49700510282065,Forestfires,area,X6,bart
26.436842105263157,3.90459544868345,Forestfires,area,X6,bart
28.189473684210526,0.984501875812674,Forestfires,area,X6,bart
29.942105263157895,-2.44126084143889,Forestfires,area,X6,bart
31.694736842105264,-3.31003301159105,Forestfires,area,X6,bart
33.44736842105264,-4.95875715197643,Forestfires,area,X6,bart
35.2,5.17504383117463,Forestfires,area,X6,bart
6.7,1.5474133175098,Forestfires,area,X7,sebart
7.910526315789474,-0.483334571848492,Forestfires,area,X7,sebart
9.121052631578948,-0.704842521799485,Forestfires,area,X7,sebart
10.33157894736842,-0.912871810957297,Forestfires,area,X7,sebart
11.542105263157895,-0.728931833672487,Forestfires,area,X7,sebart
12.75263157894737,-0.243930233734816,Forestfires,area,X7,sebart
13.963157894736842,-0.246312456516824,Forestfires,area,X7,sebart
15.173684210526314,-0.169181976117593,Forestfires,area,X7,sebart
16.38421052631579,0.690349245691695,Forestfires,area,X7,sebart
17.594736842105263,1.95437370435672,Forestfires,area,X7,sebart
18.805263157894736,-3.89812067125297,Forestfires,area,X7,bart
20.01578947368421,-4.12428084424185,Forestfires,area,X7,bart
21.226315789473684,-3.07617681261414,Forestfires,area,X7,bart
22.436842105263157,-2.02897724862759,Forestfires,area,X7,bart
23.64736842105263,-1.08086904793663,Forestfires,area,X7,bart
24.857894736842105,-1.34970992344161,Forestfires,area,X7,bart
26.068421052631578,-1.57558830868819,Forestfires,area,X7,bart
27.27894736842105,-1.05003521208456,Forestfires,area,X7,bart
28.489473684210527,9.62288558180173,Forestfires,area,X7,bart
29.7,6.69461602376349,Forestfires,area,X7,bart
21.0,1.25770010636892,Forestfires,area,X8,sebart
24.315789473684212,0.88525691040324,Forestfires,area,X8,sebart
27.63157894736842,0.638850498255446,Forestfires,area,X8,sebart
30.94736842105263,0.24311045763543,Forestfires,area,X8,sebart
34.26315789473684,-0.0230963963612681,Forestfires,area,X8,sebart
37.578947368421055,-0.240834858978897,Forestfires,area,X8,sebart
40.89473684210526,-0.488929884908693,Forestfires,area,X8,sebart
44.21052631578947,-0.246231842680449,Forestfires,area,X8,sebart
47.526315789473685,-0.541027054987883,Forestfires,area,X8,sebart
50.8421052631579,-1.58202297262169,Forestfires,area,X8,sebart
54.15789473684211,12.1046819735422,Forestfires,area,X8,bart
57.473684210526315,10.8761417583787,Forestfires,area,X8,bart
60.78947368421053,-10.9357644173144,Forestfires,area,X8,bart
64.10526315789474,-9.50582880248236,Forestfires,area,X8,bart
67.42105263157895,-6.3655160462091,Forestfires,area,X8,bart
70.73684210526315,-5.89817208992302,Forestfires,area,X8,bart
74.05263157894737,-6.34395456822668,Forestfires,area,X8,bart
77.36842105263159,2.65995341481324,Forestfires,area,X8,bart
80.6842105263158,1.36376100263614,Forestfires,area,X8,bart
84.0,-6.1302295587438,Forestfires,area,X8,bart
1.1,-0.96396257220713,Forestfires,area,X9,sebart
1.4552631578947368,-0.825353917153772,Forestfires,area,X9,sebart
1.8105263157894738,-0.667219368488424,Forestfires,area,X9,sebart
2.1657894736842107,-0.569339370050435,Forestfires,area,X9,sebart
2.5210526315789474,0.120608808397851,Forestfires,area,X9,sebart
2.876315789473684,0.400809196640177,Forestfires,area,X9,sebart
3.2315789473684213,0.401966276722881,Forestfires,area,X9,sebart
3.586842105263158,0.0995388961758371,Forestfires,area,X9,sebart
3.942105263157895,-0.322472514074337,Forestfires,area,X9,sebart
4.2973684210526315,2.29366141249292,Forestfires,area,X9,sebart
4.652631578947368,-3.53046722920417,Forestfires,area,X9,bart
5.007894736842106,-5.98103372960455,Forestfires,area,X9,bart
5.363157894736842,-5.24326636763749,Forestfires,area,X9,bart
5.718421052631578,-5.09459954723847,Forestfires,area,X9,bart
6.0736842105263165,1.2703994733768,Forestfires,area,X9,bart
6.428947368421053,4.02029611110437,Forestfires,area,X9,bart
6.784210526315789,7.7365382631636,Forestfires,area,X9,bart
7.139473684210527,6.33386901548575,Forestfires,area,X9,bart
7.494736842105263,-1.53533570303214,Forestfires,area,X9,bart
7.85,0.477325838029558,Forestfires,area,X9,bart
