"x","ale","Dataset","Target","Feature","Model"
4.7,0.637003701499997,"Forestfires","area","X9","sebart"
5.15,0.0428500668387778,"Forestfires","area","X9","sebart"
5.85,-0.311562679741525,"Forestfires","area","X9","sebart"
7.85,1.95757647971013,"Forestfires","area","X9","sebart"
1.1,-7.021048233379,"Forestfires","area","X9","bart"
2,-5.04229799011376,"Forestfires","area","X9","bart"
2.45,-5.19717495826068,"Forestfires","area","X9","bart"
2.9,-4.42422864501034,"Forestfires","area","X9","bart"
3.55,1.52656729119676,"Forestfires","area","X9","bart"
4.25,2.68271064134563,"Forestfires","area","X9","bart"
4.7,4.45330034903007,"Forestfires","area","X9","bart"
5.15,6.18210292982889,"Forestfires","area","X9","bart"
5.85,2.09214760996375,"Forestfires","area","X9","bart"
7.85,0.102682468836355,"Forestfires","area","X9","bart"
5e-07,-0.0381445547806552,"Forestfires","area","X10","sebart"
1.5e-06,-0.0578006823629616,"Forestfires","area","X10","sebart"
2.5e-06,-0.0578006823629616,"Forestfires","area","X10","sebart"
3.5e-06,-0.0578006823629616,"Forestfires","area","X10","sebart"
4.5e-06,-0.0578006823629616,"Forestfires","area","X10","sebart"
5.5e-06,-0.0578006823629616,"Forestfires","area","X10","sebart"
6.5e-06,-0.0578006823629616,"Forestfires","area","X10","sebart"
7.5e-06,-0.0578006823629616,"Forestfires","area","X10","sebart"
8.5e-06,-0.0578006823629616,"Forestfires","area","X10","sebart"
3.2000045,2.76307488581885,"Forestfires","area","X10","sebart"
5e-07,0.0561017913148592,"Forestfires","area","X10","bart"
1.5e-06,0.0561017913148592,"Forestfires","area","X10","bart"
2.5e-06,0.0561017913148592,"Forestfires","area","X10","bart"
3.5e-06,0.0561017913148592,"Forestfires","area","X10","bart"
4.5e-06,0.0561017913148592,"Forestfires","area","X10","bart"
5.5e-06,0.0561017913148592,"Forestfires","area","X10","bart"
6.5e-06,0.0561017913148592,"Forestfires","area","X10","bart"
7.5e-06,0.0561017913148592,"Forestfires","area","X10","bart"
8.5e-06,0.0561017913148592,"Forestfires","area","X10","bart"
3.2000045,-8.23097586047767,"Forestfires","area","X10","bart"
