"Scenario","Iteration","N_train","adjustment","y","truth","mean","lower","upper"
"sigmoid",1,200,"raw",19.9997523592857,22.5985029726323,0.562058377651852,0.222161247831463,1.1466812206486
"sigmoid",1,200,"raw",19.9997723587089,22.7669206880634,0.567104263486722,0.223515655053882,1.16182831720506
"sigmoid",1,200,"raw",19.9997945593489,22.9721507390519,0.572626672715089,0.225046566629781,1.16564613678573
"sigmoid",1,200,"raw",19.9998483587012,23.5794347873512,0.578500782604659,0.226938330796119,1.17270706666747
"sigmoid",1,200,"raw",19.999854216776,23.6582295820616,0.584192369491958,0.228644774916136,1.17723421521361
"sigmoid",1,200,"raw",19.9998617103222,23.7637706347463,0.590367894685738,0.231405531888767,1.18689674594125
"sigmoid",1,200,"raw",19.999865451783,23.8186269567466,0.597159916114055,0.233404240980609,1.19878392885563
"sigmoid",1,200,"raw",19.9998771088993,23.9998761682962,0.604048982530206,0.238417440391528,1.21226939226346
"sigmoid",1,200,"raw",19.9998876746252,24.179674847007,0.611677007156083,0.242847930975659,1.22083920624293
"sigmoid",1,200,"raw",19.9998953924042,24.3220428692743,0.619693614006968,0.245384952693039,1.2300836726617
"sigmoid",1,200,"raw",19.9999024393757,24.4615279617175,0.627638364766732,0.249413784001793,1.23760496595315
"sigmoid",1,200,"raw",19.9999326747929,25.2034095004844,0.636419358829157,0.256069506926417,1.24372848609152
"sigmoid",1,200,"raw",19.9999329824288,25.2125692765622,0.64519682296484,0.260931868396749,1.25062174140682
"sigmoid",1,200,"raw",19.9999377185291,25.3591515073587,0.654444351330361,0.264609858816593,1.2607832049438
"sigmoid",1,200,"raw",19.9999575629135,26.1264360972771,0.664086552803776,0.270683494569417,1.27684346791705
"sigmoid",1,200,"raw",19.9999577307667,26.1343624840863,0.674464704605604,0.277097344117805,1.28903415683654
"sigmoid",1,200,"raw",19.9999797270468,27.6039083467862,0.684897023512709,0.284685091517916,1.30288920937879
"sigmoid",1,200,"raw",19.9999801184197,27.6428962988392,0.696274487494691,0.292039347112292,1.31100948778284
"sigmoid",1,200,"raw",19.9999871171522,28.5106907746959,0.708687903266152,0.302456586887079,1.31478011675719
"sigmoid",1,200,"raw",19.9999910966817,29.249636678202,0.720330840222569,0.310453653616198,1.32944367905388
"sigmoid",1,200,"raw",19.9999912655637,29.2879379839826,0.733082498055697,0.322288383704913,1.34011008032507
"sigmoid",1,200,"raw",19.9999934296033,29.8573365721813,0.746117222290635,0.329352655447384,1.35003336749921
"sigmoid",1,200,"raw",19.9999942693766,30.1308364583244,0.759449280730349,0.341718631786883,1.36832607189374
"sigmoid",1,200,"raw",19.9999946226317,30.2580869354745,0.773817071482898,0.35296873335542,1.38007246223625
"sigmoid",1,200,"raw",19.9999967519258,31.2663608253388,0.788123440556112,0.361736934600066,1.38789928808649
"sigmoid",1,200,"raw",19.9999989453054,33.5159830893075,0.804423452703045,0.378183208178932,1.41807870005707
"sigmoid",1,200,"raw",19.9999992461024,34.1874831040526,0.820393891438425,0.388974552760002,1.43431950302834
"sigmoid",1,200,"raw",19.9999993110175,34.3675644973844,0.836768460477056,0.400085620205672,1.44676500016339
"sigmoid",1,200,"raw",19.9999998369157,37.24946176555,0.855232903187308,0.412930038019446,1.4557146345972
"sigmoid",1,200,"raw",19.9999998676488,37.6670786829843,0.87282322507638,0.429794926563812,1.46645490657065
"sigmoid",1,200,"raw",19.9999998963492,38.1559403537637,0.890476866232634,0.44492516183629,1.47445963459841
"sigmoid",1,200,"raw",19.9999999013834,38.2555171157584,0.910215690765718,0.464515855010886,1.49573689459069
"sigmoid",1,200,"raw",19.9999999022829,38.2738436056619,0.930799645178207,0.487136981969603,1.52473446276922
"sigmoid",1,200,"raw",19.9999999025778,38.2798871954691,0.950542804831912,0.501819504953668,1.53925425785717
"sigmoid",1,200,"raw",19.9999999238218,38.7718442334146,0.972258100457151,0.521612109635294,1.56377539724364
"sigmoid",1,200,"raw",19.9999999551831,39.8328271475094,0.994965191008779,0.539669871645633,1.58924564579597
"sigmoid",1,200,"raw",19.9999999650606,40.3307632723285,1.0158601976194,0.558046957683424,1.60459861738263
"sigmoid",1,200,"raw",19.9999999684357,40.5339451386024,1.03991177414048,0.578521245051202,1.62192878316368
"sigmoid",1,200,"raw",19.9999999723906,40.8016862627896,1.06478338061146,0.600235356721732,1.65092928283634
"sigmoid",1,200,"raw",19.9999999780929,41.2643731788389,1.08837166930522,0.620622651145184,1.66100148774442
"sigmoid",1,200,"raw",19.999999981131,41.562955996314,1.11468982999618,0.648223095852024,1.6844005213725
"sigmoid",1,200,"raw",19.9999999929982,43.5456479953459,1.14088117841925,0.676059828043836,1.70165963525337
"sigmoid",1,200,"raw",19.9999999939638,43.8424356936798,1.16761676280985,0.702147672564891,1.72536649724394
"sigmoid",1,200,"raw",19.9999999948214,44.1489353858981,1.19538942122528,0.731719312354315,1.74441413898361
"sigmoid",1,200,"raw",19.9999999950901,44.2554912246,1.221345050755,0.751765196463225,1.77204247074243
"sigmoid",1,200,"raw",19.9999999972134,45.3883471256358,1.25052437803091,0.785751759806303,1.79643001160856
"sigmoid",1,200,"raw",19.9999999995152,48.8860752220399,1.27986176431367,0.810744399420257,1.83943559776929
"sigmoid",1,200,"raw",19.9999999995838,49.191365063673,1.31263214097999,0.839326907657394,1.86575024227062
"sigmoid",1,200,"raw",19.9999999995991,49.2662080175276,1.34672925476059,0.871583317628168,1.88678219036649
"sigmoid",1,200,"raw",19.9999999996067,49.3043678939393,1.381582217644,0.901011594626298,1.9122365414249
"sigmoid",1,200,"raw",19.9999999996687,49.6474079701196,1.41567280494599,0.939613462723841,1.93909317897221
"sigmoid",1,200,"raw",19.9999999997665,50.346858338453,1.45185516125195,0.984099821487356,1.96993041016398
"sigmoid",1,200,"raw",19.9999999998404,51.1083727184292,1.48700118906868,1.01934166976359,2.00438926672703
"sigmoid",1,200,"raw",19.99999999994,53.0638999152667,1.52306384549673,1.06032350613584,2.02353730717881
"sigmoid",1,200,"raw",19.9999999999571,53.7374659247445,1.56219394103915,1.10677419625474,2.07629763210887
"sigmoid",1,200,"raw",19.9999999999879,56.2595333485221,1.59997762413806,1.14874057135342,2.09035739724164
"sigmoid",1,200,"raw",19.9999999999942,57.7409232932611,1.64007415143677,1.19025933184647,2.12458243553737
"sigmoid",1,200,"raw",19.9999999999943,57.7656149649057,1.68076598602321,1.23185577676441,2.15848456451975
"sigmoid",1,200,"raw",19.9999999999993,62.1064416046768,1.72248987328471,1.28636078498483,2.18550780817614
"sigmoid",1,200,"raw",19.9999999999994,62.3217029330616,1.76680846106709,1.3238290619896,2.22626529243078
"sigmoid",1,200,"raw",19.9999999999996,63.0437296241362,1.80973571034521,1.3654919615616,2.26624495869041
"sigmoid",1,200,"raw",19.9999999999996,63.0655877652006,1.85490643758065,1.41535347436658,2.29670249192871
"sigmoid",1,200,"raw",19.9999999999999,65.28491201491,1.90257936283786,1.46813810264675,2.33558854877587
"sigmoid",1,200,"raw",20,67.9284236948746,1.94855486736405,1.5183456035613,2.37893422768562
"sigmoid",1,200,"raw",20,Inf,3.03429353572853,2.94736533323091,3.11244003001434
"sigmoid",1,200,"location_scale",1.49177511653206e-08,-113.751432074701,-7.79902154471244,-9.43377075810954,-6.37350679750902
"sigmoid",1,200,"location_scale",1.33117005363889e-05,-77.3851124936816,-7.36533205601807,-8.75356050706938,-6.13110797436639
