"Model","RMSE","Mean_CRPS","Median_CRPS","Runtime","Coverage_Q_80","Width_Q_80","Coverage_HPD_80","Width_HPD_80","Coverage_Q_90","Width_Q_90","Coverage_HPD_90","Width_HPD_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_95","Width_HPD_95","Scenario","Iteration","N_train"
"bart_bc",577.962237045646,682.211356171476,471.162100470938,3.36600000000001,0.782,705.75527729403,0.74,632.551937840577,0.874,930.738560304019,0.86,839.701029948852,0.916,1137.48788060963,0.918,1036.35923103797,"box_cox",15,500
"sblm",963.572408591346,462.438139774426,413.204595291753,1.35899999999998,0.816,1336.4551113622,0.773,773.76573374269,0.892,2079.76421893844,0.869,1396.67140392787,0.933,2919.73974512015,0.924,2160.10725637168,"box_cox",15,500
"sebart",628.434597458051,631.702014433772,430.216670751204,6.18199999999999,0.833,847.79459623589,0.784,641.14083674283,0.891,1088.94012925586,0.864,906.619789223886,0.931,1295.66580796417,0.92,1137.48875238079,"box_cox",16,500
"bart",284.427264303404,677.521207606365,435.089005586472,1.339,0.581,206.563442338206,0.573,198.54621449244,0.668,272.721694203118,0.666,264.701159832193,0.74,330.416934273612,0.74,322.325577801324,"box_cox",16,500
"bart_bc",361.922414635464,613.560242600643,434.581879872337,3.47800000000001,0.783,599.4637495119,0.737,531.977621016792,0.88,794.781738070648,0.849,711.269022458777,0.938,978.010597530252,0.924,882.90463885834,"box_cox",16,500
"sblm",816.249968556908,425.195533088481,386.048885118744,1.434,0.823,1150.25128786614,0.807,710.600123701999,0.915,1773.58050179312,0.896,1220.02593474651,0.949,2487.15871538874,0.941,1848.74326820455,"box_cox",16,500
"sebart",1265.5508561965,746.632244342275,578.643028237317,5.93700000000001,0.787,787.847479268541,0.731,598.597677233499,0.852,1042.65649912879,0.829,859.450387128627,0.895,1257.93633954148,0.88,1096.08085754127,"box_cox",17,500
"bart",688.575797492196,918.142890327044,573.453355189524,1.167,0.611,246.761173355776,0.614,239.373546682799,0.714,322.885731679104,0.708,315.363225550389,0.776,390.912001764757,0.766,382.426049818567,"box_cox",17,500
"bart_bc",1233.99897144121,734.21817579449,578.1554826465,3.065,0.776,805.381425857595,0.7,687.27401418475,0.865,1075.99747598633,0.833,932.708043608366,0.912,1334.20195460912,0.908,1172.7961046365,"box_cox",17,500
"sblm",1568.85208121155,554.137648222123,520.735580745819,1.31400000000002,0.819,1119.47920805383,0.788,686.213325781418,0.9,1741.99173370015,0.878,1185.14873257288,0.938,2457.5369542974,0.914,1815.01150776705,"box_cox",17,500
"sebart",935.533464359261,749.526114985296,507.029681263626,6.12500000000003,0.832,1121.37124009496,0.764,847.10377666563,0.903,1513.55695907469,0.873,1198.47763481006,0.926,1860.15566966861,0.927,1579.13988332754,"box_cox",18,500
"bart",262.04209967843,800.946495699241,503.178322112168,1.10399999999998,0.652,275.456488747795,0.659,264.995768657404,0.753,368.259371689609,0.746,356.028626690742,0.81,448.160417989404,0.808,438.362144187221,"box_cox",18,500
"bart_bc",423.738074681669,709.148587513985,510.56213031026,3.15700000000004,0.827,845.781502935864,0.762,724.342840242578,0.908,1128.5958946027,0.876,981.968255451683,0.939,1407.86336363693,0.944,1236.4920521944,"box_cox",18,500
"sblm",1042.61736651668,509.36943040493,461.660025007466,1.38800000000003,0.813,1274.57742273069,0.765,738.09667104133,0.89,2073.65442402189,0.863,1341.54622330776,0.935,3014.02494218562,0.913,2145.5321723057,"box_cox",18,500
"sebart",860.739165351455,862.941520351688,578.986279080772,6.42099999999999,0.851,991.07621256109,0.798,788.275227516151,0.917,1251.42907694942,0.895,1069.66339166273,0.952,1467.09261799991,0.938,1306.30952084466,"box_cox",19,500
"bart",456.178952753842,912.487323198706,584.765503027477,1.24800000000005,0.637,263.108487112164,0.629,256.75719145421,0.74,340.170822517823,0.74,333.607900803655,0.799,408.255792690792,0.801,401.655314640312,"box_cox",19,500
"bart_bc",624.172115092165,845.294008008045,583.856460440193,3.721,0.81,881.495890360884,0.732,775.662649148829,0.895,1179.68834633633,0.857,1042.31112110647,0.933,1464.41967835664,0.933,1305.0236217479,"box_cox",19,500
"sblm",1299.58499972415,577.025511668188,520.364806006617,1.55000000000001,0.881,1738.47465340311,0.842,993.94473351221,0.939,2779.25754915037,0.922,1820.51770147239,0.967,3969.20902577434,0.957,2891.7718940656,"box_cox",19,500
"sebart",809.159245409696,657.691247097127,456.853175462654,6.31099999999998,0.838,1072.10902752498,0.796,767.946981905261,0.895,1370.12360313234,0.881,1137.41119850186,0.93,1642.58083662461,0.922,1416.86100936618,"box_cox",20,500
"bart",269.597375177661,739.746820040185,455.856732033739,1.14000000000004,0.703,253.336019805149,0.7,246.469265395653,0.783,334.136275334335,0.777,325.428166724291,0.825,405.990423220201,0.821,397.508942684291,"box_cox",20,500
"bart_bc",533.864256292886,669.18289808798,457.1410007788,3.089,0.836,762.412990631992,0.786,664.550123538656,0.898,1012.97432504976,0.896,892.207616782608,0.934,1252.03511402678,0.937,1114.39076057378,"box_cox",20,500
"sblm",978.789054812628,452.771651215459,406.195131552467,1.315,0.846,1482.99565561313,0.836,824.426192513246,0.921,2488.11105466882,0.907,1554.22466804193,0.953,3694.97412074853,0.941,2579.69862581358,"box_cox",20,500
"sebart",949.923065431541,797.379198275854,548.642895567936,5.99599999999998,0.843,1079.65002948766,0.79,832.491884482145,0.899,1391.58387832726,0.892,1150.95046050951,0.928,1631.67774552015,0.925,1442.67577470367,"box_cox",21,500
"bart",387.947338543544,880.384790683969,545.861282580846,1.16500000000002,0.709,281.839344386732,0.704,272.875479989402,0.795,371.606408561857,0.792,362.186539548571,0.849,451.166215066795,0.85,441.803810867668,"box_cox",21,500
"bart_bc",692.388467117039,797.30709813441,554.617901694457,3.22400000000005,0.832,855.392068506166,0.767,748.066651495617,0.894,1135.38245763627,0.884,1003.59263587895,0.938,1405.22334012558,0.937,1251.64759506225,"box_cox",21,500
"sblm",1190.18462452663,558.36892693134,504.380690609653,1.36099999999999,0.824,1406.99094324586,0.811,828.202907317463,0.898,2279.35122788124,0.889,1471.79785195074,0.935,3252.60568701874,0.922,2356.77867665218,"box_cox",21,500
"sebart",700.349286968954,689.552536703747,503.021840647952,5.882,0.819,789.335549375288,0.752,628.262225832379,0.897,1020.79821775791,0.869,860.256117970676,0.922,1292.82209936859,0.922,1079.58768902755,"box_cox",22,500
"bart",343.010688413656,756.545307932031,503.04083169636,1.137,0.63,264.751066982884,0.635,256.583621875305,0.719,345.94169288043,0.72,337.144157657516,0.783,419.471842431505,0.783,411.346766007264,"box_cox",22,500
"bart_bc",540.349888815362,704.13398878991,505.022592658219,3.142,0.814,701.505365925421,0.771,621.433497278568,0.885,928.408590507971,0.88,831.408646190704,0.934,1144.32728321813,0.941,1031.97954998484,"box_cox",22,500
"sblm",1136.43587861331,497.308142660827,447.455578477979,1.32900000000001,0.83,1299.33261236995,0.794,772.916006798882,0.916,2087.51168165924,0.884,1374.60453886611,0.948,2993.15000421765,0.933,2171.63909349763,"box_cox",22,500
"sebart",1255.112467114,854.758828947797,611.991813095556,5.86000000000001,0.825,1332.08081568485,0.762,991.718306319028,0.882,1739.35229217334,0.863,1414.17579417243,0.917,2062.987380852,0.906,1802.75319530437,"box_cox",23,500
"bart",435.288418630351,970.817236194309,616.317014345256,1.09800000000001,0.623,271.969475917925,0.623,259.006554330188,0.702,354.710802913578,0.699,344.049343058726,0.751,428.850690506705,0.754,418.343529450352,"box_cox",23,500
"bart_bc",810.266722121599,864.521693403684,618.185404706311,3.05900000000003,0.804,996.698331965332,0.751,864.904964756954,0.886,1325.22234016154,0.869,1165.88695283462,0.935,1633.74665408576,0.932,1455.64654015032,"box_cox",23,500
"sblm",1442.4383500001,608.492841317307,556.299967144756,1.34200000000004,0.793,1451.10203109862,0.77,856.752463557162,0.892,2355.1337675827,0.851,1517.69068143612,0.926,3417.1829024669,0.91,2425.0002435254,"box_cox",23,500
"sebart",706.572038127948,713.648406896017,507.895235239576,5.83299999999997,0.83,932.471061343691,0.77,700.848128314471,0.89,1191.11366155903,0.868,1000.66725643167,0.922,1423.86646587727,0.917,1240.76214965538,"box_cox",24,500
"bart",240.499520657791,781.068626854673,505.581840987948,1.15500000000003,0.671,268.433446985032,0.666,261.238953636365,0.757,344.98986926496,0.76,337.345986387273,0.819,410.368602799389,0.82,403.440763996861,"box_cox",24,500
"bart_bc",625.717651054749,730.154558926443,513.357092253561,3.10500000000002,0.775,769.095594778698,0.729,680.498413957025,0.861,1015.18487966926,0.832,907.093700461557,0.911,1249.49229142264,0.909,1124.51702008143,"box_cox",24,500
"sblm",1111.40514046393,497.734959502443,450.913821863945,1.322,0.839,1454.87599525995,0.83,868.542662856323,0.92,2281.97379299992,0.908,1528.74926819839,0.943,3177.49051088356,0.945,2360.53845269322,"box_cox",24,500
"sebart",539.912640559586,592.631784444676,427.450785700746,5.90100000000001,0.844,877.485580855255,0.766,705.670508282696,0.905,1123.09454214904,0.876,947.666698373263,0.936,1345.78242693591,0.922,1177.16874343158,"box_cox",25,500
"bart",248.779353172899,643.661154068707,428.942182196151,1.12799999999999,0.608,247.815971845543,0.607,239.934479895832,0.715,327.044438128695,0.716,318.269652023949,0.782,397.833108753606,0.775,389.500393463593,"box_cox",25,500
"bart_bc",350.339722298997,602.242656519769,432.265840817906,3.06299999999999,0.818,698.319253709542,0.768,609.612728489898,0.892,932.098439935591,0.881,823.650837564432,0.933,1150.56292968758,0.932,1031.32376362411,"box_cox",25,500
"sblm",730.941635601231,418.668938952031,376.632047209606,1.31799999999998,0.822,1268.29770555327,0.799,755.028937198616,0.893,2016.33850578443,0.878,1327.84761827801,0.928,2935.88532188135,0.92,2086.13913363394,"box_cox",25,500
"sebart",1365.02997069309,725.111107484466,451.494188923192,5.88499999999999,0.832,1189.72094122223,0.76,945.796420526626,0.893,1512.40978770259,0.884,1262.92274964606,0.931,1816.61935091033,0.923,1563.96699233101,"box_cox",26,500
"bart",345.504170010824,682.974048234944,451.639023894846,1.08099999999996,0.62,289.337672413238,0.62,279.442477218544,0.724,374.118556392371,0.723,360.233882936868,0.787,445.804957626205,0.783,435.161477732468,"box_cox",26,500
