"Scenario","Model","N_train","Mean_RMSE","Coverage_Q_80","Width_Q_80","Coverage_Q_90","Width_Q_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_80","Width_HPD_80","Coverage_HPD_90","Width_HPD_90","Coverage_HPD_95","Width_HPD_95","Mean_CRPS","Median_CRPS","Mean_Runtime"
"sigmoid","bart_bc",500,8.44170417336147,0.81564,31.7589773038279,0.87239,43.3321274169385,0.91003,54.9276165580378,0.8271,25.5388980113438,0.90715,35.6467937987713,0.94447,46.1597222795018,7.71565201562501,6.54973619390842,3.16938000000024
"sigmoid","lm",150,6.47192022017119,0.80991,18.8846936227153,0.83407,24.2114914547199,0.88941,28.8022262269542,0.80952,18.6936316691976,0.83408,23.9965307470086,0.88647,28.5648696101345,2.8704766648891,2.85736478265454,0.0255399999999957
"sigmoid","lm",200,6.43466363571818,0.81208,19.1027858338817,0.83786,24.4928914697013,0.90057,29.1321101510082,0.81138,18.9108515518114,0.83783,24.2764878660044,0.89651,28.8929213028031,2.86862930145487,2.87939656517945,0.0239800000001196
"sigmoid","lm",250,6.39866903234361,0.8105,18.9936246690883,0.83484,24.3583187917895,0.89163,28.9780558025918,0.81002,18.8022012689796,0.83436,24.142350200875,0.88899,28.7408454759771,2.86657914229439,2.85407333766643,3.69568999999988
"sigmoid","lm",500,6.3050150097341,0.81149,18.9594661178825,0.83451,24.3107594608022,0.88363,28.922467651481,0.81063,18.7677556979762,0.83404,24.0954680559586,0.88314,28.6837612773856,2.86274674134797,2.8524804176047,0.0257400000000052
"sigmoid","sblm",150,6.63876040031783,0.84581,12.2199577963798,0.92251,15.1101791499607,0.9531,16.9947177426867,0.77049,8.05265309119653,0.89042,12.2653078195171,0.93724,15.1745746090706,4.26854832661189,3.8401078430437,11.1588
"sigmoid","sblm",200,6.63893751788069,0.85285,12.4998329058178,0.92701,15.3671411710817,0.95568,17.1714446272747,0.78225,8.30175711709552,0.89717,12.5456376697576,0.94229,15.4288211978164,4.27486037219887,3.81183751429359,2.15618000000011
"sigmoid","sblm",250,6.59981137904252,0.85506,12.489670396222,0.92689,15.365176642672,0.95568,17.2053295091012,0.78315,8.29201165688776,0.89978,12.5346231262915,0.94303,15.4288478256523,4.2437012667911,3.83407994835698,7.44734000000001
"sigmoid","sblm",500,6.53783895188628,0.87447,12.7221808633105,0.94079,15.61550177189,0.96465,17.4221317658948,0.79672,8.44832293033213,0.91512,12.768720228618,0.95451,15.6784037057619,4.20978306034522,3.81075040553752,2.43174000000014
"sigmoid","sebart",150,5.16300406961319,0.86223,10.2946793313619,0.92485,12.4201951344981,0.95402,13.910210207662,0.85192,7.36127975507898,0.9275,10.3563279900085,0.95661,12.4731604599879,5.23975103049683,4.30141376074951,4.41072
"sigmoid","sebart",200,5.08809703314309,0.85953,9.84702210599392,0.92431,11.9591303126741,0.95603,13.4719878170758,0.84992,7.01474513591455,0.9289,9.9150610362966,0.95998,12.0145644272066,5.45555079136344,4.25886930223732,10.12444
"sigmoid","sebart",250,4.92077328723498,0.85378,9.30063621800046,0.92033,11.3610400642259,0.95282,12.8728813959351,0.84584,6.61926104457944,0.9261,9.37944386380221,0.95962,11.4193117063239,5.56915077885637,4.35822889877478,34.2907800000001
"sigmoid","sebart",500,4.59126993333715,0.83613,7.81194192662747,0.90533,9.69436095642251,0.94266,11.1455302424558,0.83159,5.58534504146408,0.91142,7.91982788862271,0.94803,9.76492465924723,5.82570832545332,4.3673202816334,14.4376100000006
