"Model","RMSE","Mean_CRPS","Median_CRPS","Runtime","Coverage_Q_80","Width_Q_80","Coverage_HPD_80","Width_HPD_80","Coverage_Q_90","Width_Q_90","Coverage_HPD_90","Width_HPD_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_95","Width_HPD_95","Scenario","Iteration","N_train"
"sblm",27.8087374221034,23.5694446982114,20.6497390289077,2.23599999999999,0.865,71.9247984019238,0.851,61.0147366087779,0.936,98.2512318328789,0.926,85.4082840275995,0.967,123.892659236515,0.957,110.595351080894,"identity",21,200
"sebart",13.3508092374223,29.2911422114096,24.6204802808489,4.57300000000004,0.863,45.4808284897913,0.806,39.0325181991576,0.914,57.025893604084,0.913,52.1276928788797,0.937,66.3775909325838,0.95,62.5234462414758,"identity",22,200
"bart",8.4189540531693,32.1672939690692,25.3587441136832,1.10399999999998,0.829,19.9488525801481,0.815,19.7024105117464,0.917,25.6249353053953,0.914,25.3603428279986,0.96,30.501405852843,0.956,30.1865847788308,"identity",22,200
"bart_bc",21.4738760264584,28.9178492289978,24.8696405830223,2.46300000000002,0.817,64.1560816549281,0.722,51.7909959851502,0.919,87.6868633225059,0.91,73.8664889569713,0.959,111.522575161958,0.971,96.6504785924953,"identity",22,200
"sblm",28.5267563569813,21.4301924219696,19.9329431325285,2.23500000000001,0.841,72.1240070821765,0.835,61.8143783008893,0.923,95.833252268784,0.911,84.022515318539,0.952,117.811196040725,0.949,104.694289512878,"identity",22,200
"sebart",16.9440931994403,27.2257357875863,23.1776709718639,4.48199999999997,0.848,37.0837997641125,0.78,32.6323587266479,0.935,47.5833772468488,0.912,43.4966566361485,0.967,56.502757750806,0.961,53.239144822968,"identity",23,200
"bart",13.7316388280419,29.808696997137,23.1686234086554,1.06799999999998,0.751,21.7614910178702,0.741,21.4636205555492,0.868,27.985010138924,0.856,27.6567329084652,0.927,33.3778306504058,0.93,33.0074497522898,"identity",23,200
"bart_bc",20.4128977399403,26.6297954750262,23.576297977069,2.45099999999996,0.739,46.2987748745567,0.655,38.794822201552,0.835,62.1481098243758,0.79,53.3791182184471,0.899,77.7122308205879,0.891,68.069158925246,"identity",23,200
"sblm",28.9468072337609,21.5453246265745,19.0366033699051,2.226,0.857,61.8145825113515,0.855,55.5277018841348,0.939,83.4280102782226,0.927,76.4482570500911,0.961,104.209651482244,0.946,96.0054396812287,"identity",23,200
"sebart",13.8808181585145,28.7045378208494,24.9116929605846,4.608,0.832,37.8880298709471,0.763,32.7802703539264,0.896,47.797137689631,0.887,43.7181986947872,0.927,56.6568270247424,0.931,53.118721341029,"identity",24,200
"bart",9.49269839337813,32.1007152267655,25.5506473135923,1.09199999999998,0.779,19.3417282643375,0.77,19.0982202972405,0.878,24.8759381130676,0.872,24.5984829960546,0.931,29.6282432294195,0.929,29.3085849170824,"identity",24,200
"bart_bc",18.9811587685775,27.4594605236377,24.675049485188,2.48500000000001,0.772,54.6496736672701,0.668,44.1252849807942,0.878,74.37530435554,0.844,62.6167603187253,0.938,94.1555751854592,0.945,81.6016980544278,"identity",24,200
"sblm",29.3076349419317,22.5612222178207,20.7783501949298,2.267,0.773,58.6467579496005,0.757,51.0756749557612,0.886,79.3017917647085,0.858,70.3009675480114,0.937,98.6395023247987,0.925,88.6430715784788,"identity",24,200
"sebart",14.4852400455668,29.6598900848799,24.8753243729487,4.57400000000001,0.847,42.2140381923594,0.794,37.2549526230264,0.912,54.6837804364099,0.9,49.3936135555258,0.94,65.0537897971937,0.947,60.4398597857938,"identity",25,200
"bart",11.3565003795911,32.7423148071069,25.1183593711204,1.09899999999999,0.806,19.9507020827303,0.791,19.6958694087579,0.893,25.6603804499377,0.889,25.3530792472026,0.946,30.6037670544245,0.948,30.2777957002131,"identity",25,200
"bart_bc",22.0455909186923,27.679748207916,23.9276331088169,2.48099999999999,0.816,63.3672924912446,0.732,49.7818246318774,0.893,87.3118758076342,0.891,72.068519683635,0.957,112.190438555226,0.97,95.7126654047652,"identity",25,200
"sblm",29.683595358908,21.6662209049722,20.1724760518342,2.267,0.828,70.5832878816201,0.811,59.3282398598304,0.924,95.6456152552865,0.906,84.2510288279476,0.959,117.822073184083,0.952,107.594526809098,"identity",25,200
"sebart",13.450707512758,29.4095166330232,25.2217466216616,4.60699999999997,0.834,37.6265279402893,0.771,33.3234201767129,0.915,48.0543314808184,0.895,44.216352535435,0.947,57.0298263645634,0.94,53.7495317035416,"identity",26,200
