"Scenario","Iteration","N_train","ISE_raw_mean","ISE_raw_expected","ISE_adjusted_mean","ISE_adjusted_expected","Mu_mean","Sigma_mean"
"arctangent",39,150,2126.25863416866,2126.27779968283,18818.6394543516,19141.07461697,0.148212004345848,0.341751604344523
"arctangent",40,150,1364.53215654937,1364.55164427269,15261.1883819474,15477.7434344057,0.034203603961562,0.303321942365151
"arctangent",41,150,1745.59189528779,1745.6122797062,23224.9525239628,23629.2742208616,0.0152039984316383,0.27887263612558
"arctangent",42,150,1993.9394291429,1993.95973895085,29477.4251753355,29947.4896455567,0.0401288989294137,0.264093119701479
"arctangent",43,150,1297.72084586125,1297.74159736376,11574.2685864988,11777.319996033,0.0765431137906693,0.340667068755724
"arctangent",44,150,1440.28027251352,1440.300503305,15408.9086391133,15608.9817212972,0.089186981585521,0.309617013816988
"arctangent",45,150,1859.25362683797,1859.27276455673,17698.5552884283,17927.8386993504,0.167728928907528,0.328303789282028
"arctangent",46,150,1414.53647294212,1414.5558344193,13191.0462196507,13408.4531892779,0.222550294874965,0.332628186110931
"arctangent",47,150,1209.55575051368,1209.57611571817,17814.9800525892,18115.4243706188,-0.00143731702440763,0.264900195344036
"arctangent",48,150,1795.77948529608,1795.79853550247,21644.180916285,21949.2105731134,0.0775065882411851,0.292057558386539
"arctangent",49,150,1878.18085386961,1878.20061198603,19160.0273088281,19448.1975195847,-0.043081270112271,0.317669691962104
"arctangent",50,150,2305.28361706818,2305.30330637638,25262.8974197089,25616.7026991541,0.115046018225539,0.306333781258815
"arctangent",51,150,2171.15408753583,2171.17548823524,21503.4955090514,21765.0226020431,0.195697695722188,0.321572017431329
"arctangent",52,150,1743.36971760543,1743.38890027452,15984.1671714776,16160.3964247343,0.124603677586516,0.333908396300857
"arctangent",53,150,1495.84293609956,1495.86232725645,16748.4341120748,16997.7908401226,0.0700920857910746,0.303319613722273
"arctangent",54,150,1322.42075001269,1322.43893932202,11728.2520345379,11885.8519119131,0.177670459109452,0.340240396186923
"arctangent",55,150,1540.77682013227,1540.80259782395,17079.7163725367,17294.0667738308,0.189280371589825,0.304139839760595
"arctangent",56,150,2484.38402010976,2484.40344341761,21542.8827632331,21827.5230282895,0.208688663416539,0.343953715229663
"arctangent",57,150,1923.42060722177,1923.44030573153,24193.8241570024,24625.5741539894,0.125412148873543,0.287110484911565
"arctangent",58,150,1847.88195430057,1847.90249877006,27581.4448699091,27968.7600621508,-0.0264336994257005,0.262432616372322
"arctangent",59,150,2197.08534707598,2197.10555760188,21744.2667746175,22042.3166120124,0.070987353122429,0.322099687044916
"arctangent",60,150,1482.85281007118,1482.87405385906,18075.669268981,18294.0792962295,-0.0111300734192786,0.289865336972708
"arctangent",61,150,2169.54924233345,2169.56845401821,33933.284431688,34564.8372462465,0.00862474072058912,0.257614437743405
"arctangent",62,150,2020.27337342624,2020.29263175116,19260.9898598783,19535.0969433957,-0.00617840648027121,0.328371540141544
"arctangent",63,150,1724.42366635936,1724.44359028992,17885.961870866,18162.0188660305,0.14942317088988,0.315238054315284
"arctangent",64,150,2230.08923205268,2230.10937925421,19004.2038255771,19315.7722676291,0.0384055009992737,0.348098836777983
